4 clusters
Cluster 0
52.00, 85.00, 2.69
54.00, 84.00, 2.64
51.00, 76.00, 2.52
48.00, 72.00, 2.46
48.00, 80.00, 2.71
54.00, 84.00, 2.71
51.00, 84.00, 2.32
50.00, 89.00, 2.61
48.00, 85.00, 2.68
52.00, 84.00, 2.70
49.00, 79.00, 2.66
51.00, 87.00, 2.44
53.00, 84.00, 2.47
50.00, 70.00, 2.49
55.00, 85.00, 2.47
51.00, 73.00, 2.32
47.00, 77.00, 2.68
48.00, 87.00, 2.72
51.00, 85.00, 2.63
50.00, 88.00, 2.75
52.00, 71.00, 2.36
52.00, 74.00, 2.69
49.00, 89.00, 2.47
53.00, 81.00, 2.76
51.00, 77.00, 2.64
Cluster 1
26.00, 70.00, 3.62
28.00, 74.00, 3.74
25.00, 70.00, 3.31
30.00, 87.00, 3.80
27.00, 82.00, 3.75
30.00, 80.00, 3.71
32.00, 86.00, 3.68
25.00, 71.00, 3.57
29.00, 90.00, 3.32
25.00, 81.00, 3.66
25.00, 82.00, 3.72
32.00, 78.00, 3.75
27.00, 78.00, 3.66
32.00, 90.00, 3.30
28.00, 82.00, 3.31
28.00, 81.00, 3.56
29.00, 80.00, 3.70
25.00, 82.00, 3.76
28.00, 71.00, 3.43
33.00, 84.00, 3.60
25.00, 72.00, 3.65
31.00, 72.00, 3.77
28.00, 75.00, 3.60
25.00, 87.00, 3.68
26.00, 85.00, 3.34
Cluster 2
49.00, 17.00, 3.64
55.00, 23.00, 3.45
51.00, 12.00, 3.65
53.00, 22.00, 3.69
53.00, 11.00, 3.65
49.00, 11.00, 3.59
52.00, 12.00, 3.54
54.00, 24.00, 3.63
47.00, 20.00, 3.73
54.00, 22.00, 3.67
55.00, 16.00, 3.41
52.00, 12.00, 3.45
52.00, 25.00, 3.74
49.00, 21.00, 3.55
51.00, 11.00, 3.62
50.00, 29.00, 3.46
48.00, 26.00, 3.47
47.00, 17.00, 3.61
50.00, 19.00, 3.77
47.00, 26.00, 3.59
52.00, 20.00, 3.62
49.00, 29.00, 3.75
52.00, 25.00, 3.77
49.00, 13.00, 3.63
51.00, 23.00, 3.34
Cluster 3
31.00, 14.00, 2.75
29.00, 22.00, 2.55
25.00, 17.00, 2.68
30.00, 16.00, 2.73
33.00, 22.00, 2.77
30.00, 26.00, 2.68
31.00, 22.00, 2.40
30.00, 20.00, 2.75
29.00, 19.00, 2.66
28.00, 15.00, 2.36
26.00, 20.00, 2.72
27.00, 14.00, 2.49
33.00, 29.00, 2.37
27.00, 22.00, 2.38
30.00, 27.00, 2.36
32.00, 26.00, 2.35
31.00, 16.00, 2.34
32.00, 13.00, 2.76
27.00, 28.00, 2.36
29.00, 15.00, 2.38
27.00, 24.00, 2.47
26.00, 14.00, 2.61
31.00, 27.00, 2.45
27.00, 15.00, 2.47
28.00, 28.00, 2.38
